time x y z pitch mu rL Rc gyrophase
12.9434 1.30751 12.2849 11.6937 0.40723 1.0104e-31 0.396067 3.26189e+10 6.14382
13.069 1.28858 12.3524 11.857 0.407229 1.0104e-31 0.396066 3.97872e+10 5.96623
13.1947 1.25799 12.423 12.0172 0.407229 1.01039e-31 0.396066 4.5036e+10 5.78863
13.3204 1.21669 12.4981 12.1728 0.407229 1.0104e-31 0.396068 5.09524e+10 5.61103
13.446 1.16598 12.5791 12.3226 0.407228 1.01039e-31 0.396065 5.69665e+10 5.43343
13.5717 1.10747 12.6669 12.4656 0.407229 1.01039e-31 0.396066 7.06583e+10 5.25583
13.6973 1.04298 12.7624 12.6008 0.407229 1.0104e-31 0.396067 9.0072e+10 5.07823
13.823 0.974561 12.8664 12.7277 0.407229 1.01039e-31 0.396066 9.0072e+10 4.90063
13.9487 0.90435 12.979 12.8458 0.407229 1.0104e-31 0.396067 1.13933e+11 4.72304
14.0743 0.834559 13.1005 12.9551 0.407229 1.01039e-31 0.396066 1.80144e+11 4.54544
14.2 0.767385 13.2306 13.0558 0.407229 1.0104e-31 0.396066 2.54762e+11 4.36784
14.3257 0.704941 13.3688 13.1483 0.407229 1.0104e-31 0.396067 2.54762e+11 4.19024
14.4513 0.649191 13.5145 13.2334 0.407229 1.0104e-31 0.396067 2.54762e+11 4.01264
14.577 0.601888 13.6667 13.312 0.407228 1.01039e-31 0.396064 1.80144e+11 3.83505
14.7027 0.564521 13.8242 13.3853 0.407229 1.0104e-31 0.396066 2.54762e+11 3.65744
14.8283 0.538266 13.9857 13.4545 0.40723 1.01041e-31 0.396069 2.54762e+11 3.47984
14.954 0.523948 14.1498 13.5212 0.407229 1.0104e-31 0.396067 2.54762e+11 3.30225
15.0796 0.522017 14.3149 13.5869 0.407229 1.01039e-31 0.396066 inf 3.12465
15.2053 0.532535 14.4794 13.6531 0.407229 1.0104e-31 0.396068 inf 2.94705
15.331 0.555171 14.6419 13.7215 0.407229 1.0104e-31 0.396067 inf 2.76945
15.4566 0.589212 14.8008 13.7933 0.407228 1.01039e-31 0.396065 inf 2.59185
15.5823 0.633588 14.9547 13.8702 0.407229 1.01039e-31 0.396065 inf 2.41425
15.708 0.686902 15.1025 13.9531 0.407229 1.0104e-31 0.396067 inf 2.23666
15.8336 0.747478 15.2432 14.0433 0.407229 1.01039e-31 0.396066 inf 2.05905
15.9593 0.813409 15.3758 14.1414 0.407229 1.0104e-31 0.396067 inf 1.88147
16.085 0.882623 15.5 14.248 0.407229 1.0104e-31 0.396066 inf 1.70386
16.2106 0.95294 15.6154 14.3634 0.407229 1.0104e-31 0.396066 inf 1.52626
16.3363 1.02215 15.722 14.4875 0.407229 1.0104e-31 0.396066 inf 1.34866
16.4619 1.08808 15.8201 14.6202 0.407229 1.0104e-31 0.396067 inf 1.17107
16.5876 1.14864 15.9102 14.7609 0.407229 1.0104e-31 0.396066 inf 0.993468
16.7133 1.20194 15.9931 14.9087 0.407229 1.01039e-31 0.396066 inf 0.815869
16.8389 1.2463 16.07 15.0627 0.407228 1.01039e-31 0.396065 inf 0.638273
16.9646 1.28033 16.1418 15.2216 0.407229 1.0104e-31 0.396066 inf 0.460671
17.0903 1.30295 16.2101 15.384 0.40723 1.01041e-31 0.396069 inf 0.28307
17.2159 1.31345 16.2764 15.5486 0.407229 1.0104e-31 0.396068 inf 0.105474
17.3416 1.3115 16.342 15.7137 0.407229 1.0104e-31 0.396067 inf 6.21106
17.4673 1.29716 16.4088 15.8777 0.407228 1.01039e-31 0.396065 inf 6.03346
17.5929 1.27089 16.478 16.0392 0.407228 1.01039e-31 0.396065 inf 5.85586
17.7186 1.2335 16.5513 16.1967 0.40723 1.01041e-31 0.396068 inf 5.67827
17.8442 1.18619 16.6299 16.3489 0.407229 1.0104e-31 0.396067 inf 5.50067
17.9699 1.13043 16.715 16.4946 0.407229 1.0104e-31 0.396067 inf 5.32307
18.0956 1.06797 16.8075 16.6328 0.407229 1.0104e-31 0.396066 inf 5.14547
