it time x y z u v w Bx By Bz
250 15.708 0.686902 15.1025 13.9531 0.440472 1.16289 0.673558 0 1 1
252 15.8336 0.747478 15.2432 14.0433 0.494672 1.10401 0.732431 0 1 1
254 15.9593 0.813409 15.3758 14.1414 0.53331 1.0393 0.797148 0 1 1
256 16.085 0.882623 15.5 14.248 0.555171 0.970769 0.865675 0 1 1
258 16.2106 0.95294 15.6154 14.3634 0.559567 0.900589 0.935854 0 1 1
260 16.3363 1.02215 15.722 14.4875 0.54636 0.830965 1.00548 0 1 1
262 16.4619 1.08808 15.8201 14.6202 0.515966 0.764085 1.07236 0 1 1
264 16.5876 1.14864 15.9102 14.7609 0.46934 0.702054 1.13439 0 1 1
266 16.7133 1.20194 15.9931 14.9087 0.407949 0.646823 1.18962 0 1 1
268 16.8389 1.2463 16.07 15.0627 0.333725 0.60013 1.23631 0 1 1
270 16.9646 1.28033 16.1418 15.2216 0.249002 0.563444 1.273 0 1 1
272 17.0903 1.30295 16.2101 15.384 0.156446 0.537918 1.29853 0 1 1
274 17.2159 1.31345 16.2764 15.5486 0.058969 0.524357 1.31209 0 1 1
276 17.3416 1.3115 16.342 15.7137 -0.0403634 0.523185 1.31326 0 1 1
278 17.4673 1.29716 16.4088 15.8777 -0.138426 0.534441 1.302 0 1 1
280 17.5929 1.27089 16.478 16.0392 -0.232134 0.55777 1.27867 0 1 1
282 17.7186 1.2335 16.5513 16.1967 -0.318539 0.592438 1.24401 0 1 1
284 17.8442 1.18619 16.6299 16.3489 -0.394924 0.637355 1.19909 0 1 1
286 17.9699 1.13043 16.715 16.4946 -0.458885 0.691108 1.14534 0 1 1
288 18.0956 1.06797 16.8075 16.6328 -0.50841 0.752005 1.08444 0 1 1
290 18.2212 1.00079 16.9082 16.7629 -0.541942 0.818131 1.01831 0 1 1
292 18.3469 0.931001 17.0176 16.8844 -0.558424 0.887406 0.949038 0 1 1
294 18.4726 0.860791 17.1357 16.997 -0.55734 0.95765 0.878794 0 1 1
