time x y z pitch mu rL Rc
1.182e-08 -2.45451e-08 0.100012 1.30659e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.188e-08 6.25135e-08 0.100012 1.12156e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.194e-08 2.63943e-07 0.100012 1.189e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.2e-08 2.28314e-07 0.100012 1.40156e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.206e-08 1.7787e-08 0.100012 1.39868e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.212e-08 -3.35151e-10 0.100012 1.19569e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.218e-08 2.05565e-07 0.100012 1.15704e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.224e-08 2.76257e-07 0.100012 1.36046e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.23e-08 8.84065e-08 0.100012 1.46135e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.236e-08 -3.0248e-08 0.100012 1.29398e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.242e-08 1.27308e-07 0.100012 1.16066e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.248e-08 2.86189e-07 0.100012 1.30428e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.254e-08 1.69199e-07 0.100012 1.48457e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.26e-08 -1.95522e-08 0.100012 1.39728e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.266e-08 4.92458e-08 0.100013 1.205e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.272e-08 2.55563e-07 0.100013 1.2535e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.278e-08 2.39442e-07 0.100013 1.46846e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.284e-08 2.90087e-08 0.100013 1.48514e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.29e-08 -8.59808e-09 0.100013 1.28474e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.296e-08 1.92233e-07 0.100013 1.22719e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.302e-08 2.81116e-07 0.100013 1.4232e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.308e-08 1.02979e-07 0.100013 1.54109e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.314e-08 -3.13866e-08 0.100013 1.38548e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.32e-08 1.12445e-07 0.100013 1.23815e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.326e-08 2.83533e-07 0.100013 1.36645e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.332e-08 1.83384e-07 0.100013 1.55683e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.338e-08 -1.32744e-08 0.100013 1.48744e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.344e-08 3.66639e-08 0.100013 1.28964e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.35e-08 2.46073e-07 0.100013 1.31883e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.356e-08 2.49601e-07 0.100013 1.53437e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.362e-08 4.10926e-08 0.100013 1.57052e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.368e-08 -1.56716e-08 0.100014 1.3745e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.374e-08 1.78343e-07 0.100014 1.2986e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.38e-08 2.84643e-07 0.100014 1.48554e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.386e-08 1.17769e-07 0.100014 1.61947e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.392e-08 -3.11374e-08 0.100014 1.47702e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.398e-08 9.77179e-08 0.100014 1.31702e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.404e-08 2.79524e-07 0.100014 1.42892e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.41e-08 1.97087e-07 0.100014 1.62778e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.416e-08 -5.76634e-09 0.100014 1.57696e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.422e-08 2.48774e-08 0.100014 1.37542e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.428e-08 2.35555e-07 0.100014 1.38508e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.434e-08 2.58702e-07 0.100014 1.59939e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.44e-08 5.39338e-08 0.100014 1.65474e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.446e-08 -2.14942e-08 0.100014 1.46486e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.452e-08 1.64015e-07 0.100014 1.37133e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.458e-08 2.86808e-07 0.100014 1.54762e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.464e-08 1.3265e-07 0.100014 1.69647e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.47e-08 -2.95025e-08 0.100015 1.56847e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.476e-08 8.32548e-08 0.100015 1.39725e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.482e-08 2.74196e-07 0.100015 1.49182e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.488e-08 2.1019e-07 0.100015 1.69749e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.494e-08 2.90671e-09 0.100015 1.66573e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.5e-08 1.39889e-08 0.100015 1.46225e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.506e-08 2.24102e-07 0.100015 1.45236e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.512e-08 2.66666e-07 0.100015 1.66361e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.518e-08 6.74204e-08 0.100015 1.73774e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.524e-08 -2.60151e-08 0.100015 1.55571e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.53e-08 1.49374e-07 0.100015 1.4454e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.536e-08 2.87591e-07 0.100015 1.60957e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
